Overall rank,Country or region,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
131,Chad,4301,358,907,53,189,181,60
132,Congo (Kinshasa),4245,69,1136,204,312,197,52
133,India,4190,721,747,485,539,172,93
134,Niger,4166,131,867,221,390,175,99
135,Uganda,4161,322,1090,237,450,259,61
136,Benin,4141,378,372,240,440,163,67
137,Sudan,4139,605,1240,312,16,134,82
138,Ukraine,4103,793,1413,609,163,187,11
139,Togo,3999,259,474,253,434,158,101
140,Guinea,3964,344,792,211,394,185,94
141,Lesotho,3808,472,1215,79,423,116,112
142,Angola,3795,730,1125,269,0,79,61
143,Madagascar,3774,262,908,402,221,155,49
144,Zimbabwe,3692,357,1094,248,406,132,99
145,Afghanistan,3632,332,537,255,85,191,36
146,Botswana,3590,1017,1174,417,557,42,92
147,Malawi,3587,186,541,306,531,210,80
148,Haiti,3582,315,714,289,25,392,104
149,Liberia,3495,76,858,267,419,206,30
150,Syria,3462,689,382,539,88,376,144
151,Rwanda,3408,332,896,400,636,200,444
152,Yemen,3355,442,1073,343,244,83,64
153,Tanzania,3303,455,991,381,481,270,97
154,South Sudan,3254,337,608,177,112,224,106
155,Central African Republic,3083,24,0,10,305,218,38
156,Burundi,2905,91,627,145,65,149,76
